,text,summary
0,"The BCCI today announced Team India's 18-member squad for the upcoming Test series against South Africa. Rohit Sharma has been named vice-captain for the series. Hanuma Vihari, who wasn't included in the squad for the Test series against New Zealand, has returned to the squad. The squad also includes Jasprit Bumrah, Shardul Thakur and Mohammad Shami.", Rohit Sharma has been named vice-captain for the series against South Africa . Hanuma Vihari
1,"Pat Cummins took a five-wicket haul on his captaincy debut as Australia dismissed England for 147 runs in 50.1 overs on the rain-curtailed Day 1 of the first Ashes 2021-22 Test at the Gabba on Wednesday. Jos Buttler top-scored for England with 39 runs off 58 deliveries, while opener Rory Burns and captain Joe Root were dismissed for ducks.", Pat Cummins took a five-wicket haul on his captaincy debut as Australia dismissed England for 147 runs
2,"Reacting to Rohit Sharma replacing Virat Kohli as ODI captain, commentator Harsha Bhogle said, ""However great a player Kohli is, this is the time to reach out to him."" He added, ""It is inevitable he will feel a sense of loss."" Harsha further stated, ""It is critical Dravid, Kohli and Rohit are comfortable and have a common vision.""", Harsha Bhogle says Virat Kohli will feel a sense of loss when he is replaced as captain
3,"Ex-Australia leg-spinner Shane Warne repeatedly said that Mitchell Starc's delivery to take a wicket on the first ball of Ashes didn't swing despite the graphic showing swing. ""Warne desperate to convince that Starc didn't swing it,"" a fan tweeted. ""So so so salty from Warne,"" another wrote. ""You've got to respect the commitment to the agenda,"" another fan joked.", Shane Warne repeatedly said Mitchell Starc's delivery to take a wicket on the first ball of Ashes didn
4,"Ex-England captain Nasser Hussain has said he would've had one of the pacers between James Anderson and Stuart Broad in the team for the first Australia Test. ""[But] it looks like England are saving them for the day-night Test,"" he stated, adding that the problem with the two ageing seamers is that they're doubtful to get through back-to-back Tests.", Ex-England captain Nasser Hussain says he would've had one of the pacers in the team for the
5,"Ex-Australia captain Ricky Ponting has praised pacer Mitchell Starc for dismissing England's Rory Burns on the first ball of the Gabba Test. ""That's what he does, he takes wickets with the new ball...if he gets it right, he's a wicket-taking machine,"" Ponting stated. Starc took two wickets, conceding 35 runs in his 12 overs during England's first innings.", Ricky Ponting has praised Mitchell Starc for dismissing Rory Burns on the first ball of the Gabba Test .
6,"After BCCI announced that Rohit Sharma will replace Virat Kohli as Team India's ODI captain, RCB thanked Kohli for leading the team through an ""emphatic and aggressive era in white-ball cricket"". ""Your brand of cricket will be a template for future to follow,"" said RCB in a tweet. Rohit has already been named Team India's T20I captain.", Rohit Sharma will replace Virat Kohli as Team India's ODI captain . RCB thanked Kohli
7,"Talking about his captaincy at MI, India white-ball captain Rohit Sharma said he was able to win five titles in IPL because of the players he had in the team. ""I have very little role to play there...There were certain decisions that I had to make, giving the last over, the first over...[But] overall, it's the players' team,"" he stated.", Rohit Sharma said he was able to win five titles in IPL because of the players he had in the
8,"Pakistan captain Babar Azam praised spinner Sajid Khan for his performance against Bangladesh as they won the second Test by an innings and eight runs. ""Sajid's special bowling changed the complexion of the match,"" said Babar. Sajid took a total of 12 wickets in the match and registered Pakistan's fourth-best bowling figures in a Test innings during Bangladesh's first innings", Pakistan captain Babar Azam praised spinner Sajid Khan for his performance . Babar said Saj
9,"Cricket Australia CEO Nick Hockley has announced that the fifth Ashes Test will be a day-night match, the second such game in the ongoing Ashes series after the second Test at Adelaide. The fifth Test was moved out of Perth due to COVID-19 travel restrictions placed in Western Australia and its new venue is yet to be decided.", Cricket Australia CEO Nick Hockley has announced that the fifth Ashes Test will be a day-night match .
